Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,0.002,69,453,81
A*_taxicab_heuristic,0.002,69,453,81
A*_chebyshev_heuristic,0.002,69,453,81
DJIKSTRA,0.003,69,1215,81
DFS_NORMAL,0.002,411,961,815
DFS_LIM,0.002,255,873,505
BFS,0.002,69,1326,117
A*_manhattan_heuristic,0.004,61,289,61
A*_taxicab_heuristic,0.003,61,289,61
A*_chebyshev_heuristic,0.003,61,289,61
DJIKSTRA,0.003,61,841,61
DFS_NORMAL,0.002,511,725,1103
DFS_LIM,0.001,323,595,495
BFS,0.001,61,1054,61
A*_manhattan_heuristic,0.005,85,805,101
A*_taxicab_heuristic,0.014,85,805,101
A*_chebyshev_heuristic,0.009,85,805,101
DJIKSTRA,0.008,85,1384,101
DFS_NORMAL,0.002,413,766,755
DFS_LIM,0.002,227,853,299
BFS,0.004,85,1395,101
A*_manhattan_heuristic,0.002,31,76,31
A*_taxicab_heuristic,0.003,31,76,31
A*_chebyshev_heuristic,0.001,31,76,31
DJIKSTRA,0.003,31,527,31
DFS_NORMAL,0.002,489,759,789
DFS_LIM,0.002,489,783,789
BFS,0.001,31,583,31
A*_manhattan_heuristic,0.003,61,287,61
A*_taxicab_heuristic,0.003,61,287,61
A*_chebyshev_heuristic,0.003,61,287,61
DJIKSTRA,0.002,61,625,61
DFS_NORMAL,0.004,109,1370,137
DFS_LIM,0.004,109,1371,137
BFS,0.003,61,1032,61
A*_manhattan_heuristic,0.002,43,112,43
A*_taxicab_heuristic,0.002,43,112,43
A*_chebyshev_heuristic,0.002,43,112,43
DJIKSTRA,0.002,43,523,43
DFS_NORMAL,0.003,601,801,989
DFS_LIM,0.003,601,804,989
BFS,0.001,43,615,43
A*_manhattan_heuristic,0.004,90,795,90
A*_taxicab_heuristic,0.004,90,795,90
A*_chebyshev_heuristic,0.004,90,795,90
DJIKSTRA,0.004,90,1342,90
DFS_NORMAL,0.001,452,527,792
DFS_LIM,0.002,330,626,454
BFS,0.002,72,1299,132
A*_manhattan_heuristic,0.004,90,988,90
A*_taxicab_heuristic,0.004,90,988,90
A*_chebyshev_heuristic,0.005,90,988,90
DJIKSTRA,0.005,90,1381,90
DFS_NORMAL,0.003,152,1418,368
DFS_LIM,0.002,132,1236,184
BFS,0.003,74,1409,150
A*_manhattan_heuristic,0.003,63,308,63
A*_taxicab_heuristic,0.0025,63,308,63
A*_chebyshev_heuristic,0.002,63,308,63
DJIKSTRA,0.004,63,1151,63
DFS_NORMAL,0.002,547,855,885
DFS_LIM,0.002,461,837,757
BFS,0.003,63,1419,63
A*_manhattan_heuristic,0.001,40,118,40
A*_taxicab_heuristic,0.002,40,118,40
A*_chebyshev_heuristic,0.002,40,118,40
DJIKSTRA,0.002,40,580,40
DFS_NORMAL,0.002,506,852,876
DFS_LIM,0.002,340,858,592
BFS,0.002,40,726,60
A*_manhattan_heuristic,0.005,76,498,80
A*_taxicab_heuristic,0.004,76,498,80
A*_chebyshev_heuristic,0.004,76,498,80
DJIKSTRA,0.0055,76,1209,80
DFS_NORMAL,0.004,686,1035,1366
DFS_LIM,0.003,582,1041,1134
BFS,0.003,72,1397,104
A*_manhattan_heuristic,0.003,62,334,62
A*_taxicab_heuristic,0.003,62,334,62
A*_chebyshev_heuristic,0.002,62,334,62
DJIKSTRA,0.004,62,1037,62
DFS_NORMAL,0.002,84,1405,104
DFS_LIM,0.003,84,1412,104
BFS,0.002,60,1116,80
A*_manhattan_heuristic,0.003,72,761,100
A*_taxicab_heuristic,0.004,72,761,100
A*_chebyshev_heuristic,0.003,72,761,100
DJIKSTRA,0.0035,72,1144,100
DFS_NORMAL,0.002,506,747,988
DFS_LIM,0.002,452,855,882
BFS,0.0011,46,754,104
A*_manhattan_heuristic,0.002,44,352,60
A*_taxicab_heuristic,0.002,44,352,60
A*_chebyshev_heuristic,0.0023,44,352,60
DJIKSTRA,0.004,44,1124,60
DFS_NORMAL,0.001,454,785,928
DFS_LIM,0.002,164,615,318
BFS,0.002,44,1193,60
A*_manhattan_heuristic,0.002,46,186,46
A*_taxicab_heuristic,0.0015,46,186,46
A*_chebyshev_heuristic,0.002,46,186,46
DJIKSTRA,0.001,46,376,46
DFS_NORMAL,0.004,436,1075,972
DFS_LIM,0.004,290,1285,606
BFS,0.001,46,468,46
A*_manhattan_heuristic,0.003,62,637,78
A*_taxicab_heuristic,0.0035,62,637,78
A*_chebyshev_heuristic,0.003,62,637,78
DJIKSTRA,0.0032,62,1183,78
DFS_NORMAL,0.001,380,496,600
DFS_LIM,0.002,376,688,596
BFS,0.002,62,1176,78
A*_manhattan_heuristic,0.002,59,525,79
A*_taxicab_heuristic,0.002,59,525,79
A*_chebyshev_heuristic,0.003,59,525,79
DJIKSTRA,0.003,59,975,79
DFS_NORMAL,0.002,665,1102,1157
DFS_LIM,0.003,629,1156,1135
BFS,0.002,59,1039,79
A*_manhattan_heuristic,0.0025,59,629,81
A*_taxicab_heuristic,0.003,59,629,81
A*_chebyshev_heuristic,0.003,59,629,81
DJIKSTRA,0.0034,59,1161,81
DFS_NORMAL,0.002,421,669,785
DFS_LIM,0.0,47,288,103
BFS,0.001,47,637,99
A*_manhattan_heuristic,0.004,98,946,98
A*_taxicab_heuristic,0.004,98,946,98
A*_chebyshev_heuristic,0.004,98,946,98
DJIKSTRA,0.004,98,1205,98
DFS_NORMAL,0.003,504,1347,1168
DFS_LIM,0.003,400,1339,956
BFS,0.002,78,1271,148
A*_manhattan_heuristic,0.0055,87,783,87
A*_taxicab_heuristic,0.004,87,783,87
A*_chebyshev_heuristic,0.004,87,783,87
DJIKSTRA,0.004,87,1362,87
DFS_NORMAL,0.003,659,1138,1089
DFS_LIM,0.002,565,1126,943
BFS,0.002,65,1338,135
A*_manhattan_heuristic,0.004,75,761,95
A*_taxicab_heuristic,0.003,75,761,95
A*_chebyshev_heuristic,0.003,75,761,95
DJIKSTRA,0.006,95,1356,95
DFS_NORMAL,0.0,153,162,237
DFS_LIM,0.001,99,254,229
BFS,0.003,65,1339,247
A*_manhattan_heuristic,0.004,48,1054,90
A*_taxicab_heuristic,0.005,48,1054,90
A*_chebyshev_heuristic,0.004,48,1054,90
DJIKSTRA,0.005,48,1394,90
DFS_NORMAL,0.002,678,1062,1388
DFS_LIM,0.003,260,1220,538
BFS,0.002,48,1066,90
A*_manhattan_heuristic,0.004,79,954,99
A*_taxicab_heuristic,0.004,79,954,99
A*_chebyshev_heuristic,0.004,79,954,99
DJIKSTRA,0.004,79,1363,99
DFS_NORMAL,0.003,613,1156,1127
DFS_LIM,0.002,493,1178,899
BFS,0.003,73,1370,153
A*_manhattan_heuristic,0.002,45,189,45
A*_taxicab_heuristic,0.002,45,189,45
A*_chebyshev_heuristic,0.002,45,189,45
DJIKSTRA,0.002,45,593,45
DFS_NORMAL,0.001,413,508,755
DFS_LIM,0.002,307,803,665
BFS,0.001,45,697,45
A*_manhattan_heuristic,0.003,75,638,79
A*_taxicab_heuristic,0.003,75,638,79
A*_chebyshev_heuristic,0.003,75,638,79
DJIKSTRA,0.003,79,1233,79
DFS_NORMAL,0.0,77,83,141
DFS_LIM,0.0,77,83,141
BFS,0.002,61,1208,149
A*_manhattan_heuristic,0.004,73,981,101
A*_taxicab_heuristic,0.004,73,981,101
A*_chebyshev_heuristic,0.004,73,981,101
DJIKSTRA,0.004,73,1264,101
DFS_NORMAL,0.002,553,843,895
DFS_LIM,0.002,529,960,899
BFS,0.001,49,595,121
A*_manhattan_heuristic,0.001,27,60,31
A*_taxicab_heuristic,0.001,27,60,31
A*_chebyshev_heuristic,0.002,27,60,31
DJIKSTRA,0.001,27,170,31
DFS_NORMAL,0.001,229,358,553
DFS_LIM,0.002,293,922,587
BFS,0.0,27,252,31
A*_manhattan_heuristic,0.005,46,1041,86
A*_taxicab_heuristic,0.004,46,1041,86
A*_chebyshev_heuristic,0.004,46,1041,86
DJIKSTRA,0.004,46,1373,86
DFS_NORMAL,0.002,500,1305,756
DFS_LIM,0.003,394,1304,830
BFS,0.002,46,845,86
A*_manhattan_heuristic,0.003,56,715,88
A*_taxicab_heuristic,0.003,56,715,88
A*_chebyshev_heuristic,0.004,56,715,88
DJIKSTRA,0.0044,56,1296,88
DFS_NORMAL,0.001,284,354,630
DFS_LIM,0.001,276,565,606
BFS,0.002,50,806,154
A*_manhattan_heuristic,0.002,35,115,35
A*_taxicab_heuristic,0.002,35,115,35
A*_chebyshev_heuristic,0.001,35,115,35
DJIKSTRA,0.002,35,803,35
DFS_NORMAL,0.002,443,560,671
DFS_LIM,0.002,349,1008,653
BFS,0.002,35,910,49
A*_manhattan_heuristic,0.003,67,438,67
A*_taxicab_heuristic,0.002,67,438,67
A*_chebyshev_heuristic,0.002,67,438,67
DJIKSTRA,0.003,67,961,67
DFS_NORMAL,0.002,371,514,789
DFS_LIM,0.0021,157,620,269
BFS,0.002,55,942,143
A*_manhattan_heuristic,0.002,76,361,76
A*_taxicab_heuristic,0.002,76,361,76
A*_chebyshev_heuristic,0.002,76,361,76
DJIKSTRA,0.004,76,1096,76
DFS_NORMAL,0.002,606,917,1132
DFS_LIM,0.002,386,1026,598
BFS,0.002,66,1101,130
A*_manhattan_heuristic,0.002,58,301,58
A*_taxicab_heuristic,0.002,58,301,58
A*_chebyshev_heuristic,0.002,58,301,58
DJIKSTRA,0.003,58,994,58
DFS_NORMAL,0.002,558,962,830
DFS_LIM,0.002,412,936,612
BFS,0.002,58,1247,58
A*_manhattan_heuristic,0.003,103,678,103
A*_taxicab_heuristic,0.003,103,678,103
A*_chebyshev_heuristic,0.003,103,678,103
DJIKSTRA,0.004,103,1313,103
DFS_NORMAL,0.002,375,1134,615
DFS_LIM,0.002,149,871,335
BFS,0.002,87,1407,187
A*_manhattan_heuristic,0.003,85,667,85
A*_taxicab_heuristic,0.003,85,667,85
A*_chebyshev_heuristic,0.003,85,667,85
DJIKSTRA,0.004,85,1266,85
DFS_NORMAL,0.002,505,877,1003
DFS_LIM,0.0018,389,875,703
BFS,0.002,83,1367,209
A*_manhattan_heuristic,0.002,46,215,54
A*_taxicab_heuristic,0.002,46,215,54
A*_chebyshev_heuristic,0.001,46,215,54
DJIKSTRA,0.003,46,695,54
DFS_NORMAL,0.001,374,742,602
DFS_LIM,0.002,236,710,376
BFS,0.001,44,743,56
A*_manhattan_heuristic,0.005,79,1204,137
A*_taxicab_heuristic,0.004,79,1204,137
A*_chebyshev_heuristic,0.006,79,1204,137
DJIKSTRA,0.004,79,1378,137
DFS_NORMAL,0.0,171,184,381
DFS_LIM,0.001,157,283,471
BFS,0.002,53,1098,153
A*_manhattan_heuristic,0.002,82,384,82
A*_taxicab_heuristic,0.003,82,384,82
A*_chebyshev_heuristic,0.002,82,384,82
DJIKSTRA,0.0029,82,1074,82
DFS_NORMAL,0.002,464,775,724
DFS_LIM,0.002,312,824,664
BFS,0.002,68,1153,116
A*_manhattan_heuristic,0.002,49,437,85
A*_taxicab_heuristic,0.002,49,437,85
A*_chebyshev_heuristic,0.003,49,437,85
DJIKSTRA,0.003,49,1025,85
DFS_NORMAL,0.002,663,1095,1053
DFS_LIM,0.0023,477,1124,767
BFS,0.001,49,1028,85
A*_manhattan_heuristic,0.004,86,961,86
A*_taxicab_heuristic,0.004,86,961,86
A*_chebyshev_heuristic,0.004,86,961,86
DJIKSTRA,0.004,86,1367,86
DFS_NORMAL,0.002,622,1042,1076
DFS_LIM,0.002,494,1026,924
BFS,0.002,52,1110,100
A*_manhattan_heuristic,0.002,66,380,66
A*_taxicab_heuristic,0.002,66,380,66
A*_chebyshev_heuristic,0.002,66,380,66
DJIKSTRA,0.0025,66,722,66
DFS_NORMAL,0.003,656,1301,1270
DFS_LIM,0.001,240,869,350
BFS,0.002,60,865,98
A*_manhattan_heuristic,0.002,53,279,73
A*_taxicab_heuristic,0.002,53,279,73
A*_chebyshev_heuristic,0.002,53,279,73
DJIKSTRA,0.003,53,902,73
DFS_NORMAL,0.001,509,943,999
DFS_LIM,0.002,415,943,833
BFS,0.002,45,929,81
A*_manhattan_heuristic,0.001,25,63,25
A*_taxicab_heuristic,0.002,25,63,25
A*_chebyshev_heuristic,0.001,25,63,25
DJIKSTRA,0.001,25,246,25
DFS_NORMAL,0.003,197,1227,313
DFS_LIM,0.001,49,333,49
BFS,0.0,25,366,25
A*_manhattan_heuristic,0.003,48,779,76
A*_taxicab_heuristic,0.003,48,779,76
A*_chebyshev_heuristic,0.004,48,779,76
DJIKSTRA,0.003,48,1114,76
DFS_NORMAL,0.0021,658,899,1222
DFS_LIM,0.002,216,1155,408
BFS,0.002,40,769,80
A*_manhattan_heuristic,0.002,60,456,68
A*_taxicab_heuristic,0.003,60,456,68
A*_chebyshev_heuristic,0.002,60,456,68
DJIKSTRA,0.0029,60,935,68
DFS_NORMAL,0.002,438,568,650
DFS_LIM,0.001,194,883,424
BFS,0.002,56,902,134
A*_manhattan_heuristic,0.002,45,106,45
A*_taxicab_heuristic,0.001,45,106,45
A*_chebyshev_heuristic,0.002,45,106,45
DJIKSTRA,0.002,45,480,45
DFS_NORMAL,0.001,355,564,719
DFS_LIM,0.001,69,189,89
BFS,0.001,45,581,53
A*_manhattan_heuristic,0.003,95,844,95
A*_taxicab_heuristic,0.004,95,844,95
A*_chebyshev_heuristic,0.003,95,844,95
DJIKSTRA,0.004,95,1360,95
DFS_NORMAL,0.001,207,234,545
DFS_LIM,0.001,247,731,501
BFS,0.003,77,1373,171
A*_manhattan_heuristic,0.0022,49,175,49
A*_taxicab_heuristic,0.001,49,175,49
A*_chebyshev_heuristic,0.002,49,175,49
DJIKSTRA,0.002,49,725,49
DFS_NORMAL,0.0033,285,1391,413
DFS_LIM,0.001,107,324,151
BFS,0.001,47,887,59
A*_manhattan_heuristic,0.003,50,628,78
A*_taxicab_heuristic,0.003,50,628,78
A*_chebyshev_heuristic,0.003,50,628,78
DJIKSTRA,0.003,50,1186,78
DFS_NORMAL,0.0,152,434,296
DFS_LIM,0.002,326,948,688
BFS,0.002,50,868,114
A*_manhattan_heuristic,0.002,51,224,55
A*_taxicab_heuristic,0.001,51,224,55
A*_chebyshev_heuristic,0.002,51,224,55
DJIKSTRA,0.003,51,809,55
DFS_NORMAL,0.002,587,914,1155
DFS_LIM,0.002,381,819,873
BFS,0.002,45,820,77
